,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
1369,37739.0,0,10,0,11,62.0,9.0,11,3.333333333333333,1,0,37755,0.5454,0.4211,420.0,0.9995762150708516,0.12430000000000002,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1370,44317.0,2,10,2,9,81.0,4.0,14,3.45,0,1,45971,0.6053,0.4103,410.0,0.9640207957190403,0.19499999999999995,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1371,46283.0,1,8,0,12,81.0,1.0,9,3.3,1,0,49282,0.5316,0.5065,400.0,0.9391461385495719,0.02510000000000001,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1372,43934.0,0,18,0,4,93.0,20.0,11,3.6166666666666663,0,1,48114,0.6538,0.3289,400.0,0.9131229995427527,0.3249,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1373,14576.0,0,8,1,5,72.0,0.0,6,3.0166666666666666,0,1,31042,0.4211,0.4103,404.0,0.4695573738805489,0.010799999999999976,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1374,42144.0,0,6,0,6,74.0,8.0,6,2.7,1,0,45529,0.5263,0.4744,400.0,0.9256517823804608,0.0519,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1375,37569.0,0,12,1,15,81.0,10.0,16,3.65,1,0,41922,0.5263,0.5897,408.0,0.8961643051381136,-0.06340000000000001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1376,44759.0,0,10,1,2,73.0,8.0,6,2.75,0,1,56000,0.5443,0.4231,395.0,0.7992678571428572,0.12120000000000003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1377,31425.0,0,9,0,9,85.0,9.0,7,2.6166666666666667,1,0,37903,0.5263,0.5065,410.0,0.8290900456428251,0.01980000000000004,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1378,20933.0,0,4,1,3,73.0,0.0,4,2.533333333333333,0,1,41168,0.5256,0.4416,409.0,0.5084774582199767,0.08399999999999996,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1379,35250.0,0,9,0,14,87.0,4.0,13,2.8833333333333333,1,0,46897,0.4805,0.4304,415.0,0.7516472269015075,0.05009999999999998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1380,23848.0,0,11,0,7,83.0,3.0,9,3.0,0,1,35051,0.6053,0.4868,410.0,0.680380017688511,0.11849999999999994,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1381,41480.0,0,6,0,8,72.0,3.0,7,3.9,0,1,41649,0.6579,0.3377,400.0,0.9959422795265193,0.32020000000000004,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1382,26330.0,0,8,1,10,91.0,4.0,11,2.783333333333333,1,0,41339,0.5897,0.4474,402.0,0.6369288081472702,0.14229999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
