,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
28,45432.0,0,9,1,5,75.0,15.0,5,2.533333333333333,0,1,45529,0.5263,0.6579,400.0,0.9978694897757473,-0.13160000000000005,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29,41432.0,0,16,0,13,67.0,6.0,16,4.583333333333333,0,1,41915,0.6203,0.45,399.0,0.9884766789932006,0.17029999999999995,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,21585.0,0,10,0,7,77.0,4.0,7,2.85,0,1,43651,0.4304,0.5263,401.0,0.4944903896817942,-0.09589999999999999,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,21078.0,1,6,1,14,67.0,14.0,11,2.35,1,0,38885,0.3289,0.4474,404.0,0.5420599202777421,-0.1185,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32,16112.0,1,6,0,10,73.0,0.0,7,2.716666666666667,1,0,36742,0.5325,0.5897,407.0,0.43851722824016115,-0.05720000000000003,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,12777.0,1,7,0,4,80.0,10.0,6,2.6833333333333336,0,1,42319,0.3718,0.4805,404.0,0.3019211228998795,-0.10869999999999996,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
34,14706.0,0,13,1,3,75.0,12.0,7,2.966666666666667,0,1,40615,0.4935,0.4103,400.0,0.36208297427058966,0.0832,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
35,37168.0,0,8,1,7,66.0,8.0,7,3.2,0,1,37755,0.5454,0.5316,420.0,0.9844523904118659,0.013800000000000034,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,21810.0,1,5,0,8,72.0,0.0,5,2.6,1,0,31042,0.4211,0.4935,404.0,0.7025964821854263,-0.07240000000000002,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,46268.0,1,8,2,7,78.0,11.0,7,2.7333333333333334,1,0,45529,0.5263,0.3718,400.0,1.0,0.15449999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
